Title,Date,Length
Trump Victory Speech,"November 8, 2024",24:34
"Trump Rally in Milwaukee, Wisconsin","November 5, 2024",252:46
"Trump Rally in Warren, Michigan","November 5, 2024",221:42
"Trump Rally in Henderson, Nevada","November 5, 2024",80:51
"Trump Rally in Raleigh, North Carolina","November 5, 2024",101:18
"Trump Rally in Salem, Virginia","November 5, 2024",130:30
Trump Rally in Macon Georgia,"November 4, 2024",237:44
"Trump Rally in Greensboro, North Carolina","November 4, 2024",61:9
Final Trump Rally Before Election Day,"November 4, 2024",251:41
"Trump Holds Campaign Rally in Rocky Mount, North Carolina","October 30, 2024",109:40
"Trump Rally in Greensboro, North Carolina","October 24, 2024",110:46
"Trump Rally in Juneau, Wisconsin","October 7, 2024",116:42
Trump and Musk Speak at Butler Rally,"October 7, 2024",113:1
Trump Rally Before VP Debate,"October 2, 2024",74:42
"Trump Rally in Walker, Michigan","September 30, 2024",73:39
Trump Rally in Georgia,"September 25, 2024",84:33
"Trump Rally in Indiana, Pennsylvania","September 24, 2024",138:8
Donald Trump Rally on 9/18/24 in Uniondale,"September 19, 2024",81:23
Trump Rally in Las Vegas,"September 16, 2024",72:0
Donald Trump Rally in Arizona,"September 15, 2024",75:46
Trump Rally in Wisconsin,"September 9, 2024",75:0
"Trump Speaks at Turning Point rally in Glendale, Arizona","August 26, 2024",135:19
"Vance and Trump rally in Asheboro, NC","August 22, 2024",145:23
Donald Trump Holds a Campaign Rally in Michigan,"August 21, 2024",55:28
Donald Trump Rally in Pennsylvania on 8/19/24,"August 20, 2024",57:30
"Trump Rally in Wilkes-Barre, Pennsylvania","August 19, 2024",106:26
Trump Rally in North Carolina,"August 15, 2024",59:46
Trump Rally in Montana,"August 12, 2024",82:51
Trump and Vance Speak at Atlanta Rally,"August 5, 2024",168:26
"Trump Rally in Grand Rapids, Michigan","July 22, 2024",113:49
Trump Rally in Florida on 7/09/24,"July 10, 2024",74:29
Trump Holds First Post-Debate Rally in Virginia,"July 1, 2024",75:0
Donald Trump Rally in Philadelphia,"June 24, 2024",62:55
"Donald Trump Campaign Rally in Racine, Wisconsin","June 20, 2024",66:0
Donald Trump Rally in Nevada,"June 10, 2024",61:57
Trump Speaks at Phoenix Rally,"June 10, 2024",91:4
Trump Speaks at Rally in the Bronx,"May 26, 2024",85:9
Donald Trump Holds Rally in Wisconsin on 5/01/24,"May 2, 2024",63:23
"Donald Trump Rally in Schnecksville, Pennsylvania","April 16, 2024",59:21
Donald Trump Speaks at Rally in Ohio,"March 18, 2024",78:50
Donald Trump Rally in Richmond,"March 4, 2024",77:18
Donald Trump Victory Speech After Winning South Carolina GOP Primary Transcript,"February 26, 2024",24:5
Donald Trump Delivers Speech in South Carolina,"February 12, 2024",77:37
Donald Trump Speaks at Rally in Las Vegas,"January 29, 2024",75:37
Donald Trump Holds Final Rally Before N.H. Primary,"January 23, 2024",64:36
Trump Holds Campaign Rally in New Hampshire with Vivek Ramaswamy Transcript,"January 17, 2024",54:47
"Donald Trump Election Campaign Rally in Sioux Center, Iowa","January 8, 2024",102:7
Trump Holds Rally In Iowa Moments After Colorado Supreme Court Blocks Him From Ballot Transcript,"December 20, 2023",59:58
"Trump Rally from Durham, New Hampshire 12/16/23 Transcript","December 19, 2023",83:59
Donald Trump Rally in Reno 12/17/23 Transcript,"December 18, 2023",59:24
Donald Trump Delivers Speech in Iowa Transcript,"October 9, 2023",59:4
Former US President Donald Trump Delivers Speech Ahead of Independence Day Transcript,"July 3, 2023",60:0
Trump Responds to Charges In Speech Following Arraignment In Federal Court Transcript,"June 14, 2023",28:28
Former President Donald Trump Election Rally From New Hampshire Transcript,"May 1, 2023",78:8
"Donald Trump Hosts First 2024 Presidential Campaign Rally in Waco, Texas Transcript","March 27, 2023",81:30
"Donald Trump Speech in Davenport, Iowa 3/13/23 Transcript","March 14, 2023",63:58
Donald Trump Delivers Keynote Speech at New Hampshire GOP Annual Meeting Transcript,"January 30, 2023",60:28
Donald Trump speaks at Ohio rally for Republican Senate candidate JD Vance Transcript,"November 8, 2022",77:59
Trump Rally in PA for Dr. Oz 11/05/22 Transcript,"November 7, 2022",75:55
"Trump Holds Save America Rally in Robstown, Texas 10/22/22 Transcript","October 23, 2022",89:42
Former President Trump speaks at NC campaign rally 9/23/22 Transcript,"September 26, 2022",83:4
Donald Trump SAVE AMERICA RALLY in Ohio 09/17/22 Transcript,"September 18, 2022",100:46
Trump speaks at Dr Oz rally in Pennsylvania Transcript,"September 4, 2022",112:22
Trump's Speech in Arizona 7/22/22 Transcript,"July 24, 2022",98:15
Trump gives speech in Illinois 6/25/22 Transcript,"June 26, 2022",61:40
Donald Trump's full NRA speech 5/27/22 Transcript,"May 29, 2022",13:24
"Donald Trump held a rally in Greensburg, Pennsylvania on 5/07/22 in support of GOP Senate candidate Dr. Oz. Transcript","May 8, 2022",76:17
"Donald Trump Rally In Greenwood, Nebraska 5/1/22 Transcript","May 3, 2022",104:3
Donald Trump Delivers Keynote Speech in Florida 4/21/22 Transcript,"April 24, 2022",77:19
Donald Trump Rally in Selma NC North Carolina 4/9/22 Transcript,"April 10, 2022",54:51
"Donald Trump Des Moines, Iowa Rally Speech Transcript October 9","October 9, 2021",101:7
"Donald Trump Perry, Georgia Rally Speech Transcript September 25","September 26, 2021",52:29
"Donald Trump Speech Transcript: Kabul Bombing ""Would Not Have Happened If I Were Your President""","August 26, 2021",1:0
"Donald Trump Cullman, Alabama Rally Speech Transcript","August 22, 2021",88:47
"Donald Trump Phoenix, Arizona Rally Speech Transcript July 24","July 24, 2021",105:58
"Donald Trump CPAC 2021 Speech Transcript Dallas, TX","July 11, 2021",88:45
Donald Trump & Greg Abbott Texas Border Security Visit Speech Transcript,"June 30, 2021",21:30
"Donald Trump Wellington, Ohio Rally Speech Transcript: First Rally Since Leaving Office","June 27, 2021",92:55
Donald Trump Speech Transcript at North Carolina GOP Convention Dinner June 5,"June 5, 2021",3:23
Donald Trump CPAC 2021 Speech Transcript,"February 28, 2021",89:2
Donald Trump Jr. 2021 CPAC Speech Transcript February 26,"February 26, 2021",11:10
Donald Trump Speech Transcript Departing White House on Inauguration Day,"January 20, 2021",8:58
President Donald Trump Farewell Address Speech Transcript,"January 19, 2021",18:39
Donald Trump Second Video Speech Condemning Capitol Violence: Transcript,"January 13, 2021",4:49
"Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment ""Zero Risk to Me""","January 12, 2021",21:18
"Donald Trump Speech ""Save America"" Rally Transcript January 6","January 6, 2021",70:35
"Donald Trump Rally Speech Transcript Dalton, Georgia: Senate Runoff Election","January 4, 2021",80:24
Donald Trump Video Speech Transcript on COVID Relief Bill December 22,"December 22, 2020",3:18
Donald Trump Georgia Rally Transcript Before Senate Runoff Elections December 5,"December 6, 2020",99:4
Donald Trump Speech on Election Fraud Claims Transcript December 2,"December 2, 2020",45:40
Donald Trump 2020 Election Night Speech Transcript,"November 4, 2020",9:44
"Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","November 2, 2020",72:48
"Donald Trump Rally Speech Transcript Kenosha, WI November 2","November 2, 2020",72:44
"Donald Trump & Mike Pence Rally Speech Transcript Traverse City, Michigan November 2","November 2, 2020",76:6
"Donald Trump Rally Speech Transcript Scranton, PA November 2","November 2, 2020",72:50
"Donald Trump Rally Speech Transcript Fayetteville, NC November 2","November 2, 2020",63:39
"Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","November 1, 2020",60:56
"Donald Trump Rally Speech Transcript Rome, Georgia November 1","November 1, 2020",49:39
"Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","November 1, 2020",42:8
"Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","November 1, 2020",70:54
"Donald Trump Rally Speech Transcript Macomb County, MI November 1","November 1, 2020",62:32
"Donald Trump Rally Speech Transcript Reading, PA October 31","November 1, 2020",63:48
"Donald Trump Rally Speech Transcript Montoursville, PA October 31","October 31, 2020",52:14
"Donald Trump Rally Speech Transcript Butler, PA October 31","October 31, 2020",56:25
"Donald Trump Rally Speech Transcript Newtown, PA October 31","October 31, 2020",84:15
"Donald Trump Rally Speech Transcript Rochester, MN October 30","October 30, 2020",20:39
"Donald Trump Rally Speech Transcript Green Bay, Wisconsin October 30","October 30, 2020",66:17
"Donald Trump Rally Speech Transcript Waterford Township, Michigan October 30","October 30, 2020",65:21
"Donald Trump Rally Speech Transcript Tampa, FL October 29","October 29, 2020",81:29
"Donald Trump Rally Speech Transcript Goodyear, AZ October 28","October 28, 2020",65:16
"Donald Trump Rally Speech Transcript Bullhead City, AZ October 28","October 28, 2020",74:17
"Donald Trump Rally Speech Transcript Omaha, NE October 27","October 27, 2020",43:55
"Donald Trump Rally Speech Transcript West Salem, Wisconsin October 27","October 27, 2020",54:5
"Donald Trump Rally Speech Transcript Lansing, Michigan October 27","October 27, 2020",66:48
"Donald Trump Rally Speech Transcript Martinsburg, PA October 26","October 26, 2020",59:41
"Donald Trump Rally Speech Transcript Lititz, PA October 26","October 26, 2020",85:30
"Donald Trump Rally Speech Transcript Allentown, PA October 26","October 26, 2020",77:40
"Donald Trump Manchester, New Hampshire Rally Transcript October 25","October 25, 2020",91:49
"Donald Trump Rally Speech Transcript Pensacola, FL October 23","October 24, 2020",64:44
"Donald Trump Circleville, Ohio Rally Speech Transcript October 24","October 24, 2020",72:28
"Donald Trump Rally Speech Transcript The Villages, Florida October 23","October 23, 2020",69:38
"Donald Trump Gastonia, NC Rally Speech Transcript October 21","October 21, 2020",77:14
"Donald Trump Erie, PA Rally Transcript October 20","October 20, 2020",55:27
"Donald Trump Rally Transcript Tucson, Arizona October 19","October 19, 2020",52:4
"Donald Trump Rally Transcript Prescott, Arizona October 19","October 19, 2020",68:35
"Donald Trump Carson City, Nevada Rally Speech Transcript October 18","October 18, 2020",88:4
Donald Trump Michigan Rally Speech Transcript October 17,"October 17, 2020",88:27
"Donald Trump Macon, Georgia Rally Speech Transcript October 16","October 17, 2020",100:25
"Donald Trump Rally Transcript Janesville, WI October 17","October 17, 2020",92:6
"Donald Trump Campaign Rally Greenville, NC Transcript October 15","October 15, 2020",78:32
"Donald Trump Rally Des Moines, Iowa Transcript October 14","October 14, 2020",85:40
"Donald Trump Rally Johnstown, PA Transcript October 13","October 13, 2020",65:33
"Donald Trump Campaign Rally Sanford, Florida Transcript October 12: First Rally Since Diagnosis","October 12, 2020",60:51
Donald Trump White House Rally Speech Transcript October 10: First Event Since COVID Diagnosis,"October 10, 2020",17:28
"Donald Trump Rush Limbaugh Interview ""Radio Rally"" Transcript October 9","October 9, 2020",108:51
Donald Trump Video Speech Transcript After Release from Walter Reed Hospital October 5,"October 5, 2020",0:43
"Donald Trump Duluth, Minnesota Campaign Rally Transcript September 30: Night After First Debate","September 30, 2020",46:17
Donald Trump Speech Transcript on COVID-19 Testing: Trump Announces Plan for 150 Million Rapid Coronavirus Tests,"September 28, 2020",23:5
"Donald Trump Middletown, PA Rally Speech Transcript Sept 26: First Rally After SCOTUS Nomination","September 27, 2020",72:53
"Donald Trump Newport News, Virginia Campaign Rally Transcript September 25","September 26, 2020",71:25
Donald Trump 'Black Economic Empowerment' Speech Transcript September 25,"September 25, 2020",54:58
"Donald Trump Jacksonville, FL Campaign Rally Transcript September 24","September 24, 2020",64:45
Donald Trump 'America First Healthcare' Speech Transcript September 24,"September 24, 2020",41:50
Donald Trump Speech Honoring Bay of Pigs Veterans Transcript September 23,"September 23, 2020",21:18
Donald Trump Pittsburgh Campaign Rally Transcript September 22,"September 22, 2020",89:51
Donald Trump Speech 2020 UN General Assembly Transcript,"September 22, 2020",5:54
"Donald Trump Swanton, Ohio Campaign Rally Transcript September 21","September 21, 2020",71:50
"Donald Trump Campaign Speech Transcript Vandalia, Ohio September 21","September 21, 2020",65:53
"Donald Trump Rally Speech Transcript in Fayetteville, NC September 19","September 19, 2020",108:40
"Donald Trump Campaign Rally Speech Bemidji, Minnesota Transcript September 18","September 18, 2020",109:34
"Donald Trump Mosinee, WI  Rally Speech Transcript September 17","September 17, 2020",92:36
Donald Trump Speech Transcript September 17: White House History Conference,"September 17, 2020",16:56
"Donald Trump Henderson, Nevada Rally Speech Transcript September 13","September 13, 2020",66:44
"Donald Trump Minden, Nevada Rally Speech Transcript September 12","September 12, 2020",92:1
Donald Trump 2020 9/11 Memorial Speech Transcript,"September 11, 2020",14:34
"Donald Trump Freeland, MI Campaign Rally Speech Transcript September 10","September 10, 2020",77:52
"Donald Trump Winston-Salem, North Carolina Rally Speech Transcript","September 8, 2020",75:23
"Donald Trump Speech in Jupiter, Florida Transcript September 8: Environmental Accomplishments","September 8, 2020",20:7
"Donald Trump Latrobe, Pennsylvania Rally Speech Transcript September 3","September 3, 2020",91:29
"Donald Trump Wilmington, NC Speech Transcript September 2","September 2, 2020",12:24
Donald Trump New Hampshire Rally Speech Transcript August 28,"August 28, 2020",72:53
Donald Trump 2020 RNC Night 4 Speech Transcript,"August 27, 2020",70:3
Donald Trump Jr. 2020 RNC Speech Transcript,"August 24, 2020",9:8
Donald Trump Speech Transcript August 24: Farmers to Families Food Box Program,"August 24, 2020",28:11
Donald Trump 2020 RNC Speech Transcript August 24,"August 24, 2020",52:22
Donald Trump Speech Transcript August 21: 2020 Council for National Policy Meeting,"August 21, 2020",67:52
"Donald Trump Immigration Speech Transcript August 18: Yuma, Arizona","August 18, 2020",41:46
Donald Trump Speech Transcript August 18: 100th Anniversary of Ratification of 19th Amendment,"August 18, 2020",27:19
Donald Trump Speech Transcript Wisconsin August 17,"August 17, 2020",55:41
Donald Trump Speech Transcript Minnesota August 17,"August 17, 2020",60:57
Donald Trump Speech Transcript August 14: Cops for Trump New York,"August 14, 2020",45:15
Donald Trump Speech Transcript August 6: Whirlpool Manufacturing Plant,"August 6, 2020",53:53
Donald Trump Speech Transcript July 24: Signs Executive Orders to Lower Prescription Drug Prices,"July 24, 2020",42:54
Donald Trump Speech Transcript on Rolling Back Environmental Regulations,"July 16, 2020",44:1
Donald Trump Atlanta Speech Transcript on Rebuilding Infrastructure July 15,"July 15, 2020",40:36
Donald Trump Speech Transcript on His Executive Order for the Hispanic Prosperity Initiative July 9,"July 9, 2020",26:33
Donald Trump Speech Transcript: Safely Reopening Schools Amid COVID-19 Pandemic,"July 7, 2020",81:53
"Donald Trump ""Salute to America"" Speech Transcript","July 4, 2020",29:13
Donald Trump Speech Transcript at Spirit of America Showcase,"July 2, 2020",13:19
Donald Trump Speech to American Workforce Policy Advisory Board June 26,"June 26, 2020",23:30
Donald Trump Speech Transcript from Wisconsin Shipyard June 25,"June 25, 2020",26:30
"Donald Trump Phoenix, Arizona Speech Transcript - Turning Point USA","June 23, 2020",89:48
"Donald Trump Tulsa, Oklahoma Rally Speech Transcript","June 21, 2020",100:15
Donald Trump Speech Transcript Announcing Task Force on Veteran Suicide Prevention,"June 17, 2020",29:3
Donald Trump West Point Commencement Speech Transcript,"June 13, 2020",27:25
Donald Trump Speech Transcript June 1: Trump May Deploy US Military to Cities,"June 1, 2020",5:25
Donald Trump Speech Transcript at Kennedy Space Center After SpaceX NASA Launch,"May 30, 2020",30:53
Donald Trump Speech Transcript Signing Executive Order on Social Media Sites,"May 28, 2020",19:6
Donald Trump Memorial Day Speech Transcript 2020,"May 25, 2020",12:28
Trump Speech Transcript at 'Rolling to Remember' Ceremony Honoring Veterans,"May 22, 2020",16:32
Donald Trump Speech at Ford Plant in Michigan - Full Transcript,"May 21, 2020",28:36
Donald Trump Speech Transcript Supporting Farmers & Ranchers May 19,"May 19, 2020",33:23
Donald Trump Speech Transcript on Vaccine Development for Coronavirus,"May 15, 2020",34:42
"Donald Trump, Mike Pence, Melania Trump National Prayer Day Speech Transcript","May 7, 2020",35:9
Donald Trump Mike Pence Earth Day Speech Transcript,"April 22, 2020",13:7
Transcript: Donald Trump Gives Speech Sending off Hospital Ship to NYC - Considers Quarantining New York,"March 28, 2020",15:10
Donald Trump Speech Transcript: Declares Coronavirus National Emergency,"March 13, 2020",65:30
"Donald Trump Speech Transcript on Coronavirus, Ban on Europe Travel","March 11, 2020",8:21
Donald Trump National Association of Counties Speech Transcript,"March 3, 2020",44:23
"Donald Trump Charlotte, North Carolina Rally Transcript: Trump Holds Rally Before Super Tuesday","March 2, 2020",64:28
"Donald Trump Charleston, South Carolina Rally Transcript - February 28, 2020","February 28, 2020",79:54
"Donald Trump Las Vegas, Nevada Rally Transcript","February 21, 2020",102:40
"Donald Trump Colorado Springs, CO Rally Transcript","February 21, 2020",96:33
Donald Trump Speech Transcript at the Hope for Prisoners Graduation Ceremony,"February 20, 2020",45:53
"Donald Trump Phoenix, Arizona Rally Transcript","February 20, 2020",81:44
Donald Trump Daytona 500 Speech Transcript: Trump Is First President to Be Daytona Grand Marshal,"February 16, 2020",3:10
Donald Trump National Governors Association Speech Transcript,"February 10, 2020",33:50
Donald Trump Speech Transcript 2020 National Prayer Breakfast: Trump Goes After Romney and Democrats in Speech,"February 6, 2020",25:13
"Donald Trump State of the Union Speech Transcript: February 4, 2020","February 4, 2020",78:23
"Donal Trump Iowa Rally Transcript: Trump Holds Rally in Des Moines, Iowa","January 30, 2020",3:30
Donald Trump Middle East Peace Speech Transcript with Israel PM Netanyahu,"January 28, 2020",25:19
"Donald Trump Rally in Wildwood, NJ","January 28, 2020",60:5
Donald Trump Speech Transcript: Trump Speaks at March for Life Event,"January 24, 2020",11:34
"Donald Trump Ohio Campaign Rally Transcript: Transcript of Toledo, Ohio Rally","January 9, 2020",89:46
Donald Trump Iran Statement Speech Transcript: Trump Orders Strike on Qasem Soleimani,"January 3, 2020",3:9
"Donald Trump Hershey, Pennsylvania Rally Transcript - December 10, 2019","December 11, 2019",75:40
"Donald Trump Kentucky Rally Speech Transcript: Lexington, Kentucky Rally","November 5, 2019",76:48
"Donald Trump Mississippi Rally Speech Transcript: 2019 Rally in Tupelo, Mississippi","November 3, 2019",87:46
"Donald Trump Dallas Rally Speech Transcript - October 17, 2019","October 17, 2019",86:44
"Donald Trump Minnesota Rally Speech Transcript: Minneapolis, MN Rally October 10, 2019","October 10, 2019",100:45
Donald Trump &amp; Narendra Modi Houston Rally Transcript: Trump and Modi Hold Texas Rally,"September 23, 2019",22:59
Donald Trump New Mexico Rally Transcript: Full Speech Transcript,"September 17, 2019",96:19
"Donald Trump North Carolina Rally Transcript in Fayetteville, NC September 9, 2019","September 10, 2019",84:15
"Transcript: Donald Trump, Emmanuel Macron G7 Press Conference &amp; Speeches","August 26, 2019",76:35
"Donald Trump New Hampshire Rally Transcript August 15, 2019","August 15, 2019",90:43
Donald Trump Pennsylvania Speech Transcript August 13: Full Transcript,"August 14, 2019",63:12
Donald Trump Statement on Mass Shootings: Full Transcript of Speech &amp; Remarks,"August 5, 2019",9:25
"Donald Trump Speech Transcript in Jamestown, Virginia July 30, 2019","July 31, 2019",21:38
Donald Trump Speech Transcript: Turning Point USA Teen Student Summit Speech,"July 23, 2019",93:22
Donald Trump Michigan Speech Transcript: Asks Black Voters 'What Do You Have to Lose?',"April 19, 2016",40:28
